,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"San Saba County, Texas: Summary level: 050, state:48> county:411",54.6,45.4,92.3,2.6,0.0,0.2,0.0,28.6,67.5,2098,10.1,8.1,13.4,13.6,19.6,19.0,7.4,5.1,1.9,1.7,10.1,2.53,79.9,13.5,23.7,76.3,5901,79.2,20.8,48.7,51.4,5.4,12.0,13.8,11.0,7.6,6.5,11.7,6.7,2.4,San
"Schleicher County, Texas: Summary level: 050, state:48> county:413",50.0,50.0,82.7,0.1,0.1,0.4,0.0,48.6,50.9,1028,16.1,9.0,9.3,7.4,10.1,16.6,13.5,10.9,3.2,3.8,17.0,3.18,73.7,20.4,28.6,71.4,3281,69.9,14.2,63.5,65.4,7.5,7.0,12.1,11.6,6.0,6.8,8.9,4.2,1.1,Schleicher
"Zavala County, Texas: Summary level: 050, state:48> county:507",51.3,48.7,92.2,0.3,0.1,0.0,0.0,93.2,6.5,3556,21.8,9.4,16.7,10.3,15.4,12.7,4.6,7.2,0.7,1.3,26.1,3.29,59.6,8.5,28.0,72.0,12013,69.2,12.2,51.2,57.0,8.7,12.0,11.5,10.8,5.2,5.4,6.5,4.8,0.9,Zavala
"Calhoun County, Texas: Summary level: 050, state:48> county:057",50.0,50.0,88.0,2.7,0.1,2.8,0.0,47.4,44.6,7873,6.8,4.6,13.4,10.3,16.6,19.0,10.5,12.8,2.9,3.0,16.1,2.71,79.0,15.8,29.3,70.7,21569,74.3,15.9,55.1,60.4,5.7,12.9,11.1,14.2,5.4,6.9,9.0,5.1,1.8,Calhoun
"Foard County, Texas: Summary level: 050, state:48> county:155",48.7,51.3,90.1,1.0,0.0,0.8,0.0,14.6,83.6,519,4.8,7.7,23.3,15.0,13.3,19.7,12.1,4.0,0.0,0.0,4.9,2.16,78.7,20.9,28.3,71.7,1159,78.3,30.9,48.3,53.5,0.0,7.3,16.0,12.1,1.4,9.4,14.6,10.4,5.9,Foard
"Goliad County, Texas: Summary level: 050, state:48> county:175",48.5,51.5,75.3,4.7,0.0,0.3,0.1,35.3,58.8,2978,4.8,7.9,12.5,12.1,13.2,16.0,11.5,12.4,4.3,5.4,11.2,2.42,88.2,15.3,15.5,84.5,7357,78.9,20.6,50.2,53.8,4.3,8.4,13.2,14.3,8.3,7.4,11.7,7.0,1.9,Goliad
"Hamilton County, Texas: Summary level: 050, state:48> county:193",49.4,50.6,98.0,0.8,0.1,0.2,0.0,10.8,87.6,3084,8.5,6.0,14.1,13.6,15.8,16.1,12.2,7.5,3.4,2.7,10.1,2.61,82.0,19.0,27.0,73.0,8330,78.9,25.8,48.1,51.1,4.1,8.7,10.2,13.1,5.7,8.3,13.5,8.3,4.0,Hamilton
"Mitchell County, Texas: Summary level: 050, state:48> county:335",61.4,38.6,80.6,10.2,0.7,0.4,0.0,38.2,49.1,2690,4.8,6.5,14.6,12.7,16.8,20.1,8.3,13.0,1.9,1.3,5.5,2.53,75.9,9.9,27.4,72.6,9236,80.5,14.7,36.0,39.2,9.6,18.8,13.8,10.3,5.2,5.5,8.5,4.5,1.8,Mitchell
"Titus County, Texas: Summary level: 050, state:48> county:449",49.2,50.8,78.7,10.0,0.3,0.7,0.0,40.6,48.0,10532,7.1,5.2,14.8,14.1,16.2,19.1,9.9,9.0,3.0,1.6,16.5,3.05,72.5,14.2,30.0,70.0,32540,70.3,12.3,57.3,62.3,7.7,11.8,12.9,12.1,5.4,5.2,6.9,4.2,1.2,Titus
"Lavaca County, Texas: Summary level: 050, state:48> county:285",48.4,51.6,79.2,7.2,0.0,0.3,0.0,17.0,75.1,7751,4.7,7.1,14.2,13.2,14.9,17.2,11.5,11.3,3.3,2.6,8.1,2.45,81.1,15.3,20.9,79.1,19438,76.8,21.7,56.3,60.3,4.5,9.9,10.3,14.0,7.1,7.4,10.5,8.0,3.1,Lavaca
"Terry County, Texas: Summary level: 050, state:48> county:445",53.2,46.8,83.4,5.2,0.3,0.0,0.0,51.4,43.1,3985,6.1,5.9,13.3,16.3,18.4,18.9,8.7,7.2,2.0,3.1,10.4,2.9,68.8,12.8,29.6,70.4,12681,73.6,14.2,50.7,54.4,6.6,13.5,11.8,13.0,6.4,4.5,7.8,4.9,1.5,Terry
"Wise County, Texas: Summary level: 050, state:48> county:497",50.4,49.6,94.5,1.1,0.8,0.4,0.0,17.9,78.6,20694,4.9,2.8,10.0,9.7,15.4,20.2,14.2,14.8,4.7,3.4,7.9,2.87,84.8,15.9,21.5,78.5,60413,74.6,13.5,57.9,63.3,5.5,12.5,12.4,15.5,6.9,5.9,8.4,3.9,1.2,Wise
"Matagorda County, Texas: Summary level: 050, state:48> county:321",49.4,50.6,81.1,10.3,0.3,2.1,0.2,39.4,46.6,13143,11.2,8.0,13.1,13.7,12.7,15.7,7.3,12.4,3.7,2.2,17.6,2.75,76.8,14.9,31.7,68.3,36611,74.5,14.9,54.8,58.9,6.2,12.3,11.0,13.5,6.1,7.4,8.5,4.6,1.8,Matagorda
"Pecos County, Texas: Summary level: 050, state:48> county:371",56.2,43.8,87.5,5.6,0.3,0.0,0.0,67.6,26.2,4546,8.0,6.6,13.3,8.2,14.5,18.2,10.6,15.6,3.9,1.0,14.4,2.96,68.2,11.5,32.0,68.0,15677,75.5,12.1,51.9,53.7,6.1,15.5,14.0,14.3,5.7,5.5,6.9,3.9,1.3,Pecos
"Rockwall County, Texas: Summary level: 050, state:48> county:397",49.1,50.9,86.6,5.3,0.3,2.3,0.3,16.5,73.3,27733,2.7,3.1,5.2,4.9,10.1,16.6,16.1,21.9,11.1,8.2,5.3,2.98,91.7,36.7,18.6,81.4,83239,71.3,10.7,64.7,69.4,4.5,12.3,15.3,14.9,6.2,4.9,6.7,3.1,0.9,Rockwall
"Taylor County, Texas: Summary level: 050, state:48> county:441",48.8,51.2,82.1,7.6,0.5,1.7,0.0,22.9,66.0,49482,8.1,6.8,11.9,12.7,15.4,18.9,10.6,9.9,3.3,2.3,12.9,2.57,85.7,24.6,40.4,59.6,133560,75.5,13.5,57.4,61.4,10.8,14.1,10.6,12.0,5.7,4.9,7.0,4.6,1.8,Taylor
"Throckmorton County, Texas: Summary level: 050, state:48> county:447",48.8,51.2,97.5,0.3,0.0,0.4,0.0,10.1,87.4,722,7.6,5.3,19.1,10.0,18.3,17.9,7.8,9.4,2.6,2.1,6.2,2.16,85.5,20.7,30.6,69.4,1584,78.8,27.5,54.5,56.1,5.6,6.9,10.0,15.3,6.3,5.1,14.8,8.0,4.7,Throckmorton
"Walker County, Texas: Summary level: 050, state:48> county:471",59.0,41.0,73.3,22.6,0.3,1.0,0.0,17.4,57.7,20681,14.2,8.7,10.3,13.0,12.0,16.3,10.8,10.7,2.3,1.8,16.6,2.32,82.9,18.4,42.4,57.6,68882,84.0,10.7,37.3,39.4,13.7,14.7,14.1,14.3,6.5,4.5,6.3,3.4,0.9,Walker
"Wood County, Texas: Summary level: 050, state:48> county:499",49.5,50.5,91.1,4.9,0.6,0.5,0.0,9.1,84.1,16076,6.8,5.7,12.8,13.5,17.8,18.7,11.1,8.8,2.4,2.5,9.4,2.55,84.0,17.9,19.3,80.7,42431,80.1,25.6,44.7,48.7,5.3,8.6,10.1,12.7,7.4,7.8,14.9,8.2,2.6,Wood
"Aransas County, Texas: Summary level: 050, state:48> county:007",49.7,50.3,89.3,1.4,0.7,1.4,0.0,25.7,68.7,9550,7.1,7.2,14.5,13.7,14.3,19.3,6.2,10.5,4.4,2.9,15.9,2.46,84.3,19.5,27.7,72.3,23889,80.9,25.4,46.9,50.2,4.1,8.2,9.8,14.6,8.2,7.4,14.9,8.7,1.8,Aransas
"Cochran County, Texas: Summary level: 050, state:48> county:079",51.1,48.9,81.8,4.4,0.7,0.1,0.0,55.2,39.6,1000,10.8,7.1,12.9,11.2,18.6,18.6,8.9,7.7,3.0,1.2,13.4,2.92,67.3,13.7,20.5,79.5,3031,71.2,14.5,52.0,58.1,5.0,12.5,10.3,12.7,6.2,5.1,7.7,5.2,1.6,Cochran
"Coke County, Texas: Summary level: 050, state:48> county:081",50.5,49.5,95.7,0.8,0.8,0.1,0.0,20.1,78.3,1541,6.9,6.9,21.3,10.6,9.4,23.0,10.3,7.1,1.0,3.4,9.5,2.02,88.5,17.1,27.8,72.2,3260,80.0,26.2,52.6,54.6,4.0,9.4,8.8,15.1,7.0,7.9,15.1,8.2,3.0,Coke
"Coryell County, Texas: Summary level: 050, state:48> county:099",49.3,50.7,71.9,15.7,0.7,2.0,0.9,17.0,60.6,20910,5.6,4.3,9.4,10.5,20.5,19.9,14.5,11.6,2.2,1.5,9.4,3.04,87.8,15.5,42.6,57.4,76276,73.6,8.2,38.3,42.7,10.4,18.6,14.6,11.5,4.6,3.2,4.9,2.6,0.6,Coryell
"Hemphill County, Texas: Summary level: 050, state:48> county:211",49.4,50.6,86.4,0.1,0.8,0.2,0.0,34.0,63.8,1410,4.3,7.5,6.0,7.2,15.1,23.0,11.8,13.5,7.4,4.1,8.7,2.82,81.5,22.2,26.7,73.3,4032,69.4,14.1,64.5,66.5,3.4,13.2,13.6,10.5,6.1,5.1,7.6,2.8,3.7,Hemphill
"Moore County, Texas: Summary level: 050, state:48> county:341",51.9,48.1,80.2,2.7,0.7,7.7,0.0,52.6,36.0,6836,5.7,4.0,9.3,14.9,17.2,23.2,11.2,9.6,3.5,1.4,14.4,3.22,65.9,13.0,31.1,68.9,22172,68.3,9.8,68.0,70.7,6.9,14.0,12.6,12.2,4.4,5.4,5.1,3.6,1.1,Moore
