County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
WICHITA,13.46,13.33,2.32,2.26,0.6,20.73,4.65,11.22,11.51,1.7,1.79,0.64,10.36,9.79,1.37,1.25,0.45,17.35,1.95,12.66,10.31,15.67,11.09,5.95,6.3,2.13,2.13,0.25,2.76,3.34,5.21,6.04,3.42,3.46,1.35,7.88,7.3,3.21,2.81,0.33,7.73,5.69,9.3,9.21,8.32,8.48,3.19,5.42,5.43,8.12,8.33,4.07,7.75,17.67
WILBARGER,8.55,8.56,1.83,1.86,0.58,30.3,2.82,10.06,10.43,5.45,6.52,0.96,10.4,9.81,1.24,1.16,0.35,13.11,3.52,7.61,6.71,22.74,17.33,5.24,5.42,2.72,2.87,0.19,1.44,14.64,2.19,2.59,16.35,17.54,1.09,7.62,7.14,9.99,8.12,6.38,5.7,3.87,6.81,6.73,14.82,14.89,4.95,1.45,1.48,31.53,32.29,12.98,2.54,34.77
WILLACY,1.21,1.2,13.18,13.1,9.55,2.84,25.06,1.08,1.13,20.42,21.68,7.61,1.11,1.09,22.92,18.96,6.96,0.88,26.54,0.35,0.32,44.05,36.97,0.09,0.11,24.21,23.24,19.67,0.26,27.43,0.19,0.21,30.23,32.5,30.74,0.51,0.42,31.31,24.2,8.27,0.4,16.98,1.21,1.19,31.59,29.11,19.48,0.79,0.78,29.64,29.54,32.98,0.56,36.83
WILLIAMSON,11.41,11.29,8.13,7.73,3.6,23.93,11.06,9.24,9.3,2.57,2.76,1.08,13.27,12.81,1.94,1.76,0.63,14.63,3.08,13.75,12.53,23.53,17.82,5.73,6.02,1.23,1.26,0.68,13.33,4.49,7.77,7.75,3.64,3.66,2.28,14.95,13.34,2.58,2.19,0.3,6.36,2.29,15.58,15.12,3.83,3.72,1.6,11.29,11.34,4.94,4.92,3.28,13.39,13.5
WILSON,15.29,15.02,2.82,2.76,0.85,28.41,6.09,13.49,13.79,3.97,4.23,2.51,12.63,12.43,2.39,2.24,0.51,14.22,8.39,12.66,11.76,22.61,18.66,5.63,6.32,8.76,8.74,0.49,3.03,14.83,4.28,4.27,19.51,21.46,8.68,8.97,8.05,7.99,5.89,0.24,11.54,8.92,9.08,8.78,12.54,11.64,1.55,6.82,6.82,20.37,20.71,4.76,4.21,26.76
WINKLER,18.38,18.3,1.13,1.08,0.26,33.41,1.17,21.03,22.19,0.63,0.69,0.03,13.44,12.96,0,0,0,18.07,2.12,22.09,19.99,9.84,7.44,9.36,9.25,4.67,4.48,0.42,23.01,3.5,8.1,9.2,5.74,6.08,0.35,23.3,19.42,4.04,3.43,0.27,2.24,14.61,3.81,3.76,24.44,28.21,6.88,2.8,2.89,33.7,33.2,31.71,2.99,34.86
WISE,16.98,16.92,1.89,1.91,0.78,30.05,3.62,15.67,15.69,1.62,1.68,0.59,13.82,13.53,0.89,0.85,0.27,20.13,1.78,17.05,14.88,13.11,10.73,5.42,5.63,1.79,1.85,0.25,9.62,5.78,4.34,4.46,6.22,6.21,2.14,9.15,8.4,6.13,4.94,0.41,2.55,4.78,6.62,6.51,12.73,12.92,13.4,3.68,3.68,15.39,15.26,11.82,4.09,28.39
WOOD,21.35,21.46,2.26,2.28,0.74,39.09,3.46,18.08,18.05,1.42,1.49,0.3,28.26,25.63,1.17,1.06,0.44,22.49,2.87,26.12,23.07,15.98,12,11.08,11.77,2.57,2.57,0.72,14.67,9.52,8.6,9.04,10.7,10.76,7.75,16.21,14.11,9.67,7.83,3.22,6.97,8.61,12.13,11.9,9.15,9.72,5.41,5.22,5.23,12.87,12.45,10.4,10.5,28.02
YOAKUM,25.8,26.89,0.36,0.33,0.1,38.37,0.52,21.57,22.03,0,0,0,27.66,27.3,0,0,0,33.64,1.62,15.37,13.77,13.5,11.47,13.79,13.32,2.16,2.09,0.44,16.83,5.88,11.83,14.13,6.63,6.9,3.72,14.5,13.33,15.7,13.18,1.33,13.86,11.62,7.1,5.41,14.71,15.88,13.36,4.65,4.57,37.27,36.51,13.27,3.94,23.48
YOUNG,23.06,23.37,1.63,1.56,0.82,36.44,2.96,18.08,18.52,1.26,1.4,0.31,24.58,22.87,1.43,1.32,0.46,22.77,2.55,20.21,17.56,15.69,11.74,3.96,4.13,2.23,2.34,0.67,7.54,5.34,4.32,4.58,12.38,12.65,9.67,8.72,7.96,10.02,8.41,0.49,2.96,5.44,4.67,4.48,22.84,24.82,2.04,2.58,2.65,23.96,24.08,17.63,1.76,41.66
ZAPATA,0.29,0.29,20.45,17.73,1.18,1.14,38.67,0,0,19.86,20.87,6.45,0.28,0.23,34.12,26.74,0.93,0,44.69,0,0,44.71,36.05,0,0,34.02,32.91,23.63,0.32,33,0.46,0.52,35.5,44.53,13.8,1.56,1.43,37.72,26.17,23.82,0.94,25.63,2.39,2.36,39.58,35.46,5.23,1.72,1.83,36.04,37.81,13.41,6.36,34.13
ZAVALA,0,0,20.28,19.65,9.1,0.43,23.94,0,0,13.43,13.92,2.46,0,0,32.48,20.54,15.65,0.19,31.75,0,0,47.2,30.49,0,0,18.46,17.44,7.24,0.17,17.07,0.55,0.58,29.6,37.98,29.56,0.67,0.4,33.73,21.81,26.02,0.64,17.16,0.4,0.25,35.25,28.21,29.31,0,0,29.83,35.16,20.15,0,33.41
