County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
HOOD,25.01,25.02,2.46,2.41,1.03,39.28,4.09,22.5,22.78,1.67,1.79,0.39,20.6,20.14,1.34,1.25,0.56,23.36,2,22.76,20.6,14.73,11.01,12.97,13.85,1.35,1.39,0.41,16.34,3.15,19.15,17.8,3.84,3.73,1.78,24.11,21.89,3.55,3.03,0.41,19.7,2.85,16.08,15.88,6.09,5.99,2.46,8.36,8.3,12.78,12.73,10.89,12.76,20.26
HOPKINS,20.46,20.84,2.61,2.56,1,32.32,4.37,14.24,14.96,1.98,2.22,0.62,13.29,12.85,2.14,1.9,0.72,15.61,6.33,11.99,10.17,20.89,15.67,2.09,2.18,5.79,5.79,0.73,2.82,11.94,1.85,1.92,16.41,15.89,8.13,5.21,4.79,19.84,14.21,3.22,4.32,8.21,4.54,4.4,30.43,38.7,11.06,2.27,2.26,25.48,24.48,22.79,3.6,37.77
HOUSTON,20.44,20.27,3.43,3.47,1.44,34.52,4.58,13.83,14,1.9,2.09,0.67,23.92,23.03,2.83,2.46,0.93,20.42,4.66,17.31,14.94,20.54,15.26,14.08,14.56,5.97,6.13,1.23,3.52,16.77,2.44,2.54,11.69,12.11,7.41,6.56,5.88,13.83,10.88,21.24,2.48,16.38,8.04,7.77,22.63,21.88,11.07,3.06,3.17,25.43,25.15,21.4,2.89,35.39
HOWARD,12.46,12.45,2.17,2.14,0.81,23.18,3.36,17.45,18.26,1.26,1.34,0.43,13.12,12.69,1.41,1.27,0.36,19.79,2.62,18.2,16.42,13.27,10.85,11.72,12.05,4.42,4.41,0.49,8.01,8.13,6.62,7.22,3.96,4.11,1.37,14.18,13.02,3.58,3.17,0.3,11.34,4.87,19.79,19.53,11.61,12.28,2.06,5.52,5.59,15.68,15.4,12.99,4.11,26.75
HUDSPETH,5.19,5.41,24.22,19.89,2.16,10.74,14.32,0,0,20.54,23.96,10.75,0.62,0.5,27.04,21.72,18.63,0,33.06,0,0,30.64,24.02,0,0,28.96,27.22,1.8,0.32,28.32,0.87,0.75,33.04,38.08,13.25,2.31,1.87,35.17,27.23,21.67,0.5,21.07,1.57,1.57,35.24,33.2,8.73,0.36,0.36,32.19,34.54,23.79,0.29,50.29
HUNT,16.92,16.92,2.49,2.51,0.79,29.32,4.46,16.42,16.93,5.55,1.5,0.4,20.43,19.81,1.6,1.49,0.35,20.03,2.69,17.46,15.74,16.06,13,8.3,9.24,1.72,1.77,0.3,7.6,4.49,6.3,6.42,5.56,5.49,3.53,10.94,9.81,5.09,4.15,0.49,3.82,3.74,13.34,13.11,11.94,13.4,8.99,5.61,5.62,16.3,16.22,10.47,9.64,21.16
HUTCHINSON,21.22,21.23,1.18,1.13,0.47,38.63,2.07,17.39,17.53,1.05,1.1,0.31,19.6,18.91,0.78,0.71,0.35,20.63,1.26,21.16,19.19,10.27,8.08,13.34,13.82,2.1,2.09,0.55,25.62,1.53,10.23,10.39,2.82,2.85,0.5,21.39,19.06,2.23,1.92,0.02,9.85,3.28,30.09,24.22,6.06,6.16,1.32,7.47,7.52,4.13,4.24,3.33,23.47,13.48
IRION,35.86,35.94,2.48,2.25,0.62,31.6,3.28,17.25,17.56,1.55,1.62,0.62,40.55,37.58,1.56,1.33,0.23,14.14,14.06,6.13,5.57,40.73,30.95,6.92,7.08,15.12,16.25,10.94,9.57,11.63,3.97,4.71,27.19,31.65,4.3,11.95,11.3,9.77,7.83,1.13,3.96,14.82,1.61,1.69,32.15,32.39,4.11,1.11,1.2,46.54,47.22,44.48,2.36,36.01
JACK,20.14,20.4,1.7,1.76,0.7,39.42,2.9,17.72,18.18,1.45,1.49,0.36,15.5,15.37,1.57,1.57,0.69,18.94,7.38,11.54,10.21,15.85,12.26,3.18,3.4,5.32,5.3,0.99,1.94,9.48,2.18,2.38,14.89,14.63,4.49,4.57,4.18,18.1,13.76,12.85,2.54,20.41,3.79,3.71,24.06,24.01,4.86,1.98,2,31.69,31.02,16.04,1.62,51.1
JACKSON,15.53,15.51,1.97,1.94,0.96,31.61,4.33,14.07,14.24,1.35,1.47,0.54,14.89,14.32,3.5,3.24,1.01,14.48,7.28,10.51,8.86,21.48,16.73,3.37,3.47,9.24,8.65,0.94,2.51,21.43,2.21,2.29,18.51,18.61,2.24,6.89,6.5,12.3,10.85,6.88,2.67,10.56,3.89,3.75,28.65,27.88,15.14,1.69,1.69,28.03,28.25,7.43,2.4,39.03
JASPER,19.95,19.88,3.31,3.24,0.63,26.02,5.34,10.65,10.79,3.38,3.74,0.7,14.01,13.07,8.64,8.08,1.16,10,7.19,4.92,4.22,34.55,26.92,1.74,1.88,21.19,21.31,10.78,1.58,21.84,1.11,1.13,17.72,18.1,3.88,3.42,3.11,20.59,16.95,4.81,0.97,20.64,4.18,4.08,26.75,27.16,11.65,1.08,1.09,30.09,30.65,7.74,1.86,40.94
